,title,audience_score,user_ratings_numbers
0,12 Angry Men (Twelve Angry Men) (1957),97,103672
1,The 39 Steps (1935),86,23647
2,The Adventures of Robin Hood (1938),89,33584
3,All About Eve (1950),94,44564
4,All Quiet on the Western Front (1930),89,17768
5,Casablanca (1942),95,355952
6,Frankenstein (1931),87,41140
7,King Kong (1933),86,89669
8,Laura (1944),91,10481
9,M (1931),95,35778
10,The Maltese Falcon (1941),91,57268
11,Metropolis (1927),92,62018
12,Rear Window (1954),95,149458
13,Rebecca (1940),92,39026
14,A Streetcar Named Desire (1951),90,54761
15,Touch of Evil (1958),92,30867
16,High Noon (1952),89,25065
17,Snow White and the Seven Dwarfs (1937),78,469510
18,12 Years a Slave (2013),90,138789
19,The 400 Blows (Les Quatre cents coups) (1959),94,38368
20,Alien (1979),94,457186
21,Apocalypse Now (1979),94,284606
22,Argo (2012),90,207373
23,Army of Shadows (L'Armée des ombres) (1969),94,7011
24,Arrival (2016),82,78740
25,Baby Driver (2017),89,48114
26,Battleship Potemkin (1925),85,18709
27,A Hard Day's Night (1964),89,50067
28,Bicycle Thieves (Ladri di biciclette) (1949),94,33723
29,Boyhood (2014),81,88478
30,The Bride of Frankenstein (1935),87,24471
31,Brooklyn (2015),87,45763
32,Citizen Kane (1941),90,157274
33,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),94,208215
34,Dunkirk (2017),82,53555
35,E.T. The Extra-Terrestrial (1982),72,32313030
36,Finding Nemo (2003),86,33355673
37,Get Out (2017),87,63837
38,The Godfather (1972),98,730433
39,"The Godfather, Part II (1974)",97,409574
40,Gone With the Wind (1939),93,292794
41,The Grapes of Wrath (1940),88,23954
42,Gravity (2013),80,301261
43,Harry Potter and the Deathly Hallows - Part 2 (2011),89,389431
44,Hell or High Water (2016),88,37738
45,Inside Out (2015),89,133558
46,It Happened One Night (1934),93,33106
47,Jaws (1975),90,942217
48,L.A. Confidential (1997),94,149772
49,La Grande illusion (Grand Illusion) (1938),92,11490
50,La La Land (2016),82,67325
51,The Last Picture Show (1971),90,13893
52,Logan (2017),91,86540
53,Mad Max: Fury Road (2015),86,123937
54,Man on Wire (2008),87,29827
55,Manchester by the Sea (2016),77,48189
56,Modern Times (1936),95,39736
57,Moonlight (2016),80,41956
58,The Night of the Hunter (1955),90,24322
59,North by Northwest (1959),94,78793
60,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",87,47463
61,On the Waterfront (1954),95,51664
62,Open City (1946),92,6128
63,The Philadelphia Story (1940),93,46810
64,Pinocchio (1940),72,278682
65,Psycho (1960),94,238259
66,Rashômon (1951),93,47657
67,Repulsion (1965),87,18655
68,Roman Holiday (1953),94,62895
69,Rosemary's Baby (1968),87,72669
70,Selma (2015),86,60533
71,Seven Samurai (Shichinin no Samurai) (1956),97,90049
72,Singin' in the Rain (1952),95,137643
73,Skyfall (2012),86,372497
74,Spotlight (2015),93,68142
75,Star Trek (2009),91,746458
76,Star Wars: Episode VII - The Force Awakens (2015),89,222789
77,Sunset Boulevard (1950),95,52783
78,Taxi Driver (1976),93,258405
79,The Babadook (2014),72,37024
80,The Battle of Algiers (La Battaglia di Algeri) (1967),95,14267
81,The Big Sick (2017),90,23391
82,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),89,27163
83,The Conformist (1970),91,8529
84,The Dark Knight (2008),94,1827436
85,"The Good, the Bad and the Ugly (1966)",97,238420
86,The Jungle Book (2016),86,92856
87,The Third Man (1949),93,53081
88,The Wizard of Oz (1939),89,874425
89,The Wrestler (2008),88,139795
90,Tokyo Story (Tôkyô monogatari) (1953),93,11325
91,Toy Story (1995),92,1107731
92,Toy Story 2 (1999),86,998186
93,Toy Story 3 (2010),89,605098
94,The Treasure of the Sierra Madre (1948),93,25627
95,Up (2009),90,1201878
96,Vertigo (1958),93,101454
97,The Wages of Fear (1953),95,8536
98,Wonder Woman (2017),90,112955
99,Zootopia (2016),92,98633
